0.08	0.12
0.18	0.19
0.31	0.36
0.65	0.72
0.79	0.82
0.96	0.98
1.12	1.16
1.26	1.3
1.35	1.35
1.38	1.42
1.48	1.49
1.59	1.62
1.71	1.76
1.91	1.97
2.02	2.03
2.12	2.13
2.78	2.78
2.8	2.83
3.0	3.05
3.26	3.32
3.53	3.54
3.94	3.94
3.96	3.99
4.06	4.08
4.17	4.18
4.35	4.36
4.44	4.44
4.46	4.48
4.77	4.84
4.86	4.88
5.03	5.08
5.17	5.21
5.61	5.65
5.67	5.75
5.86	5.88
6.08	6.09
6.12	6.13
6.65	6.66
6.68	6.71
6.78	6.81
6.87	6.88
6.97	6.97
7.06	7.08
7.17	7.19
8.15	8.21
8.29	8.34
8.43	8.47
8.54	8.57
8.65	8.67
8.72	8.72
8.75	8.77
8.87	8.9
9.0	9.03
9.13	9.16
9.24	9.26
9.32	9.34
9.4	9.41
9.55	9.6
9.72	9.72
9.74	9.78
9.8	9.81
9.95	9.97
