0.02	0.07
0.15	0.17
0.3	0.3
0.33	0.36
0.56	0.58
0.6	0.61
0.73	0.73
0.84	0.86
0.93	0.98
1.32	1.39
1.47	1.48
1.51	1.51
2.57	2.57
2.59	2.63
2.7	2.71
2.77	2.78
2.8	2.85
2.87	2.87
3.03	3.06
3.09	3.09
3.2	3.25
3.34	3.36
3.41	3.46
3.53	3.53
3.55	3.6
3.73	3.73
3.83	3.86
3.94	4.02
4.13	4.13
4.25	4.29
4.4	4.44
4.48	4.51
4.55	4.56
4.65	4.67
4.7	4.72
4.85	4.87
4.99	5.04
5.34	5.35
5.49	5.5
5.6	5.65
5.71	5.71
5.85	5.86
5.88	5.89
5.97	5.97
6.03	6.05
6.08	6.12
6.26	6.26
6.35	6.41
6.53	6.58
6.74	6.76
6.81	6.83
6.9	6.92
7.05	7.07
7.16	7.2
7.41	7.48
7.53	7.55
8.18	8.19
8.27	8.27
8.3	8.34
8.37	8.38
8.45	8.46
8.7	8.75
8.77	8.77
8.88	8.89
9.01	9.05
9.13	9.17
9.27	9.29
9.32	9.34
9.36	9.36
9.38	9.38
9.5	9.55
9.58	9.58
9.7	9.7
9.8	9.84
9.86	9.89
